,year,storey_range,floor_area_sqm,remaining_lease,mrt_dist,shopping_dist,school_dist,hawker_dist,town_BEDOK,town_BISHAN,town_BUKIT_BATOK,town_BUKIT_MERAH,town_BUKIT_PANJANG,town_BUKIT_TIMAH,town_CENTRAL_AREA,town_CHOA_CHU_KANG,town_CLEMENTI,town_GEYLANG,town_HOUGANG,town_JURONG_EAST,town_JURONG_WEST,town_KALLANG_WHAMPOA,town_MARINE_PARADE,town_PASIR_RIS,town_PUNGGOL,town_QUEENSTOWN,town_SEMBAWANG,town_SENGKANG,town_SERANGOON,town_TAMPINES,town_TOA_PAYOH,town_WOODLANDS,town_YISHUN,flat_type_2_ROOM,flat_type_3_ROOM,flat_type_4_ROOM,flat_type_5_ROOM,flat_type_EXECUTIVE,flat_type_MULTI_GENERATION
year,1.0,0.029361439998227667,-0.023826724413219084,-0.007610169033173158,0.05359377632787923,-0.004027791752411861,0.03886853400024339,0.04636613933050695,-0.011368295577783488,-0.011343828088219115,0.009357475129286115,-0.0033956884000698913,-0.007633530804952708,-0.005335472553923517,-0.006331579900183951,0.007726447402244946,-0.0014513764667493181,-0.0024195797160732947,0.00817561268023618,-0.011905330059084002,-0.027793572352083552,-0.0015362278007363189,0.001400343944636048,-0.0029180219729620102,0.03773358222743015,0.0027440317342678484,0.014417263030349884,0.011678865874355654,-0.01568248324505187,-0.00035998174181370003,-0.0062594956578061875,-0.0038072553654499605,0.015283249540518752,0.03217761276868506,-0.012808152296948943,0.014799713807446277,-0.0004432079775948982,-0.02162772556599983,-0.000821860619694637
storey_range,0.029361439998227667,1.0,-0.00827707120846094,0.27502417409493396,0.027363922613965204,-0.033854526068550515,0.042297145816934854,-0.0013885439058504312,-0.042797510106305094,-0.005760076615556375,-0.006958989221199031,0.09674892979547531,0.03785555776349664,-0.010621877832121497,0.11693931200030291,-0.016291703942397078,0.04212332706036734,-0.028930785577090664,-0.044769027412552745,0.007142927753057501,-0.03553615425893107,0.05853231601286609,0.010447902198494242,-0.0549166572256716,0.03804300785099089,0.14509484114077378,-0.002729894051209124,0.07415276934532351,-0.04795099661922775,-0.09309383068918652,0.05696050974242459,-0.06694740059045061,-0.08435395567910148,0.0005466602524345721,-0.08986357132768227,0.04823094573588804,0.07928342230733341,-0.0742915613142348,-0.006668520553444843
floor_area_sqm,-0.023826724413219084,-0.00827707120846094,1.0,0.14457132927045063,0.028821509924152715,-0.10510284801339385,-0.1270259057757143,0.17746661046246867,-0.07477179084249821,0.06119768109089986,-0.018379185824337042,-0.08294366734808584,0.04017048666568729,0.025260716463313033,-0.058910770847083786,0.10294705054347197,-0.07081529136091244,-0.0902520484163703,0.031153772712603015,0.0036711341471692216,0.052521663046363805,-0.07740197869928456,-0.03515486361633567,0.1679406178252378,-0.013688655533734044,-0.10241939618420093,0.02775920678082246,0.030197603902956362,0.022812861526631242,0.0815434505172162,-0.08258365030038292,0.10328696967991947,-0.04849407682977191,-0.2769957762872464,-0.6771488321645968,-0.0746511949165222,0.49139540830250394,0.562748780336487,0.05402037361629614
remaining_lease,-0.007610169033173158,0.27502417409493396,0.14457132927045063,1.0,0.21113859610398264,-0.2559977636858605,-0.0894965119268976,0.5494300876249066,-0.18136976970069327,-0.05499426336919036,-0.03077683190507023,-0.05300614438380306,0.07556542436291355,-0.04424676076261634,-0.02991577547412062,0.0772145521256791,-0.07479205897751615,-0.13028401952379792,-0.02127233897289796,-0.06086132485440673,0.003219292402381555,-0.078275551853875,-0.11720033219983574,-0.0013769319030027393,0.3236881405845624,-0.0330263101454813,0.1227596537402847,0.27199966399828757,-0.07397150197830235,-0.0651840230173224,-0.1290541903084581,0.054499056121343474,0.0009250656399047584,0.03801347578767201,-0.38337467638173145,0.22704936419042634,0.13298648912451022,-0.0388465292356465,-0.01234470192838573
mrt_dist,0.05359377632787923,0.027363922613965204,0.028821509924152715,0.21113859610398264,1.0,0.011404426375198706,-0.020073963763848113,0.2629887579797463,-0.09632523499038446,0.0028796932868586935,-0.04715395416773467,-0.07617977596586119,0.08529678680821162,-0.054877558463914684,-0.09294533017349807,0.003750311457819777,-0.02611090957529975,-0.13272465109344225,0.06943892312204161,0.032864771988941194,0.014388380629826263,-0.12655648722380958,0.19898138065097074,0.10182774047401022,0.09224605351150572,-0.12382163499587787,-0.03802963843112047,0.21873726268840732,0.08853818945130099,-0.10585584630156268,-0.07695748629209848,-0.05142185794428888,0.05565053528904411,0.03484801067615202,-0.07586254933095687,0.03185162502555746,0.03194208819549076,-0.006936050303137959,-0.008621148566547929
shopping_dist,-0.004027791752411861,-0.033854526068550515,-0.10510284801339385,-0.2559977636858605,0.011404426375198706,1.0,0.10140873790518484,-0.2832199486233727,0.3090973734418543,0.010952001907382556,0.12399129679349075,0.09886941978669905,-0.10042524549801692,0.060115773309515265,-0.09957743801419046,-0.17085812078973173,-0.06155099496177806,0.1480295936760799,-0.050868889231025304,0.17408850078035232,-0.037984379222347514,0.11795345625569027,0.0382309241750747,-0.04951559342748549,-0.12367372322561279,0.0429288994633098,-0.044304415837341,-0.134203317938727,0.034705082685826186,0.023626953089981226,0.04881182649255418,-0.13813260584897022,-0.042911910130435965,0.011361142347394167,0.14362091208234534,-0.05836971577768303,-0.06663943674185448,-0.021011568030407872,-0.002057222722290457
school_dist,0.03886853400024339,0.042297145816934854,-0.1270259057757143,-0.0894965119268976,-0.020073963763848113,0.10140873790518484,1.0,-0.2557085698537847,0.02473701077880951,-0.0016708760092423052,0.009190128111351998,0.05042147209769185,-0.013440142182321717,-0.004243837935489029,0.03795476666629001,0.007278548972440355,0.03771938245206795,0.12650655360163535,-0.01490170413022402,0.08555259210063845,-0.023729198330873714,0.157576500665553,-0.034312166787464966,-0.04205098628833766,-0.1240492191718991,0.2089063140699618,0.033880548638940446,-0.11431097869604678,0.018448254033865893,-0.03130859568257228,0.008183067754716488,-0.06064589051775162,-0.08753328267715052,0.023725070014197436,0.12205436373122575,-0.045829453611426554,-0.0408750822889792,-0.0567441103774668,-0.00470239035775991
hawker_dist,0.04636613933050695,-0.0013885439058504312,0.17746661046246867,0.5494300876249066,0.2629887579797463,-0.2832199486233727,-0.2557085698537847,1.0,-0.2076260035559168,-0.08537101408946862,-0.01696564989527548,-0.18578356868881393,0.1302912304511559,-0.04807055324309011,-0.0919113130023445,-0.05474541025972427,-0.12532583486670598,-0.14578296175219507,-0.0044326407077073735,-0.1132717235898993,-0.1074230238069888,-0.15832954920415096,-0.07311040051912053,0.17425424156198896,0.6712264833965307,-0.1408653723828508,0.07344934062784843,0.3841144399095609,-0.050070055531396866,-0.055270123141026,-0.15368278669270682,0.044920455967963305,-0.03737304823300971,0.008123012157015982,-0.29883978250204835,0.12069515311857454,0.13315245459462788,0.03638390330754088,-0.0006216927286552145
town_BEDOK,-0.011368295577783488,-0.042797510106305094,-0.07477179084249821,-0.18136976970069327,-0.09632523499038446,0.3090973734418543,0.02473701077880951,-0.2076260035559168,1.0,-0.03291315071455192,-0.047046187425388804,-0.047816076562197024,-0.04719070997419584,-0.012127274063654,-0.021953808124416076,-0.05265534207768292,-0.036631204193171465,-0.03827780632541716,-0.05512700682722841,-0.03481999846927681,-0.06408988092611775,-0.0423353904121772,-0.018980639921889527,-0.042142474110194846,-0.06659588999309879,-0.040306700724494125,-0.039862940965076726,-0.0719408491373679,-0.03313525399289846,-0.0642351422266815,-0.043047405880495236,-0.06618123268144199,-0.06451958810356843,-0.005862037421147756,0.09885152107254368,-0.0389132166473146,-0.03707665244745474,-0.02263037899458876,-0.004843222140383434
town_BISHAN,-0.011343828088219115,-0.005760076615556375,0.06119768109089986,-0.05499426336919036,0.0028796932868586935,0.010952001907382556,-0.0016708760092423052,-0.08537101408946862,-0.03291315071455192,1.0,-0.02693281845879699,-0.027373561598460685,-0.027015554165625073,-0.006942574704368217,-0.012568030717300817,-0.030143925505401202,-0.02097048935211709,-0.021913129738693415,-0.03155889453123561,-0.01993361734138182,-0.03668992584715827,-0.02423599970054373,-0.010865962944580056,-0.024125559726055706,-0.038124556174305574,-0.02307462331581118,-0.022820581454104392,-0.04118441760368451,-0.018969141373934923,-0.036773084471719994,-0.024643611547486163,-0.03788717476874076,-0.03693592294137703,-0.017768775606159415,-0.042017255298009405,0.01714128242296395,0.016783646955038655,0.01568055322153839,0.018370528739185238
